name,speciality,hospital,city,img,slug,timestamp
"dr. Daniel Timbul Mauliate Simanjuntak, Sp.U",Sp. Urologi,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/831495_23-6-2022_15-53-33.jpeg,urologist,2025-06-15 09:15:05
"dr. Davis Roland Gustav Jouwena, Sp.U",Sp. Urologi,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/147523_11-4-2022_10-58-0.jpeg,urologist,2025-06-15 09:15:05
"Dr. dr. Didit Pramudhito, Sp.U",Sp. Urologi,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/158565_22-12-2022_17-47-49.png,urologist,2025-06-15 09:15:05
"Prof.Dr.dr. Doddy M Soebadi ,Sp.B,SpU(K)","Sp. Saraf, Sp. Urologi",RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/734625_18-7-2024_14-39-16.png,urologist,2025-06-15 09:15:05
Dr J.R Sathiyananthan,Sp. Urologi,Pantai Hospital Kuala Lumpur,"Mampang Prapatan, Jakarta Selatan",,urologist,2025-06-15 09:15:05
"dr. Dwiki Haryo Indrawan, Sp.U",Sp. Urologi,Siloam Hospitals Bekasi Sepanjang Jaya,"Rawalumbu, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/339507_1-11-2022_12-10-51.jpeg,urologist,2025-06-15 09:15:05
"dr. Dwimantoro Iman Prilistiyo, Sp.U",Sp. Urologi,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/266457_13-12-2022_16-10-34.png,urologist,2025-06-15 09:15:07
"dr. Dyandra Parikesit BMedSc, Sp.U",Sp. Urologi,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/495517_24-6-2022_16-32-7.jpeg,urologist,2025-06-15 09:15:07
"dr. Edward Usfie Harahap, Sp.U",Sp. Urologi,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/778420_14-12-2022_13-44-36.png,urologist,2025-06-15 09:15:07
"Dr. dr. Edwin Raja Pardamean Lumban Tobing, Sp.U",Sp. Urologi,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/571685_24-3-2022_16-7-14.jpeg,urologist,2025-06-15 09:15:07
"Dr. Eka Yudha Rahman, M. Kes Sp. U",Sp. Urologi,Ciputra Mitra Hospital Banjarmasin,"Kertak Hanyar, Kota Banjarmasin",,urologist,2025-06-15 09:15:07
dr. Fandi Wicaksono Sp.U M.Ked.Klin,Sp. Urologi,RS Roemani Muhammadiyah,"Semarang Selatan, Kota Semarang",,urologist,2025-06-15 09:15:07
"dr. Fanny Riana Ridwan, Sp.U",Sp. Urologi,RS Meilia,"Cimanggis, Depok",,urologist,2025-06-15 09:15:07
"dr. Farid Sura Wijaya, Sp.U",Sp. Urologi,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/396217_14-12-2022_16-40-5.png,urologist,2025-06-15 09:15:07
"dr. Firdianto, Sp.U",Sp. Urologi,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/851190_13-12-2022_14-54-35.jpeg,urologist,2025-06-15 09:15:07
dr. Firman Nugroho Sp.U,Sp. Urologi,Siloam Hospitals Labuan Bajo,"Komodo, Kabupaten Manggarai Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/596666_22-12-2022_17-55-38.png,urologist,2025-06-15 09:15:07
"dr. Gunawan Sutanto, Sp.U",Sp. Urologi,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/477285_18-11-2022_16-18-39.jpeg,urologist,2025-06-15 09:15:10
"dr. Harris Mustafa Banadji, Sp.U","Sp. Urologi, Dokter Bedah",RS Mitra Keluarga Bintaro,"Pondok Aren, Tangerang Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/278616_4-4-2022_14-36-56.png,urologist,2025-06-15 09:15:10
"dr. Hendy Mirza , Sp.U(K)",Sp. Urologi,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/246135_22-4-2025_13-24-5.png,urologist,2025-06-15 09:15:10
Dr. Ida Bagus Putra Pramana Sp. U,Sp. Urologi,Bali Royal Hospital,"Denpasar Timur, Kota Denpasar",,urologist,2025-06-15 09:15:10
"dr. Ima Nastiti Setyaningsih, Sp.U",Sp. Urologi,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/208327_24-6-2022_18-4-14.jpeg,urologist,2025-06-15 09:15:10
"dr. Imam Dirgantara Azrul, Sp.U",Sp. Urologi,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/883139_3-4-2023_10-38-55.png,urologist,2025-06-15 09:15:10
dr. Imam Nuryanto Sp.U,Sp. Urologi,RS Columbia Asia BSD,"Serpong, Tangerang Selatan",,urologist,2025-06-15 09:15:10
Dr. dr. Irfan Wahyudi Sp.U (K),Sp. Urologi,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/196648_31-10-2022_14-7-37.jpeg,urologist,2025-06-15 09:15:10
"dr. Johannes Aritonang, B.MedSc., Sp.U, DU, FICS",Sp. Urologi,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/511064_13-6-2022_15-50-45.jpeg,urologist,2025-06-15 09:15:10
"dr. Johannes R. Wibowo, Sp.U",Sp. Urologi,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/511451_4-2-2020_14-24-27.jpg,urologist,2025-06-15 09:15:10
