name,speciality,hospital,city,img,slug,timestamp
drg. Amelia Gunawan,Dokter Gigi,Klinik Pratama Bethesda Medika,"Grogol Petamburan, Jakarta Barat",,dokter-gigi,2025-06-15 02:34:43
drg. Amelia Sari Sp.KG,Dokter Gigi,Audy Dental Clinic Gading Serpong,"Kelapa Dua, Kabupaten Tangerang",,dokter-gigi,2025-06-15 02:34:43
drg. Amila Yustiasari,Dokter Gigi,RSIA Bunda Suryatni,"Tanah Sareal, Bogor",,dokter-gigi,2025-06-15 02:34:43
drg Andi M Bayu,Dokter Gigi,Klinik MHDC Wisma 46,"Tanah Abang, Jakarta Pusat",,dokter-gigi,2025-06-15 02:34:43
drg. Andito Yudhotomo,Dokter Gigi,FDC Dental Clinic – Jatiasih,"Bekasi Selatan, Bekasi",,dokter-gigi,2025-06-15 02:34:45
drg. Andrawina Alysha Dewanti,Dokter Gigi,RS Permata Bunda Malang,"Lowokwaru, Kota Malang",,dokter-gigi,2025-06-15 02:34:45
drg. Andre Hasiholan Pangaribuan,Dokter Gigi,Siloam Hospitals Kelapa Dua,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/139141_26-12-2022_14-36-6.png,dokter-gigi,2025-06-15 02:34:45
drg. Andre Iman Kosasih,Dokter Gigi,Mayapada Hospital Tangerang,"Tangerang, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/626832_13-12-2022_10-52-2.png,dokter-gigi,2025-06-15 02:34:45
drg. Andrew Edward,Dokter Gigi,Happy Dental Clinic Trans Studio Mall Bandung,"Batununggal, Kota Bandung",,dokter-gigi,2025-06-15 02:34:45
drg. Andriani Octavia Sp.KGA,Dokter Gigi,Klinik Medikids by MHDC Green Terrace,"Cipayung, Jakarta Timur",,dokter-gigi,2025-06-15 02:34:45
drg. Andry Elvandari Sp.Perio,Dokter Gigi,Alia Hospital Depok,"Pancoran Mas, Depok",,dokter-gigi,2025-06-15 02:34:45
drg. Angela Monica Hendrata,Dokter Gigi,Klinik Utama FDC Dental Clinic Kelapa Gading II,"Kelapa Gading, Jakarta Utara",,dokter-gigi,2025-06-15 02:34:45
"Dr. drg. Anggraeni, SpKG",Dokter Gigi,Klinik Palapa Dentist,"Pasar Minggu, Jakarta Selatan",,dokter-gigi,2025-06-15 02:34:45
drg. Anggun Retno Ningtyas,Dokter Gigi,Dharma Dental Clinic,"Karawang Barat, Kabupaten Karawang",,dokter-gigi,2025-06-15 02:34:45
