name,speciality,hospital,city,img,slug,timestamp
"DR. Dr. Johan A. Hutauruk, SpM(K)",Sp. Mata,RS Mata JEC Menteng,"Menteng, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:26
"dr. Daddy Armand Noeryoto, Sp.M",Sp. Mata,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/478775_14-12-2022_16-41-6.png,ophthalmologist,2025-06-15 09:10:26
Dr. Daddy Armand Sp M,Sp. Mata,Klinik Citra Husada,"Buduran, Kabupaten Sidoarjo",,ophthalmologist,2025-06-15 09:10:26
"dr. Danang Dwinarnoyo, Sp.M",Sp. Mata,Mata Nusantara (KMN Eyecare) Semarang,"Semarang Tengah, Kota Semarang",,ophthalmologist,2025-06-15 09:10:26
dr. Danang Dwinaryono SpM,Sp. Mata,Mata Nusantara (KMN Eyecare) Semarang,"Semarang Tengah, Kota Semarang",,ophthalmologist,2025-06-15 09:10:26
"dr. Danang Dwinaryono, Sp.M",Sp. Mata,Siloam Hospitals Semarang,"Semarang Selatan, Kota Semarang",https://d1ojs48v3n42tp.cloudfront.net/personnels/15071_22-12-2022_17-35-4.png,ophthalmologist,2025-06-15 09:10:26
"dr. Danang Prasetya Kurniawan, Sp.M",Sp. Mata,Klinik Utama Mata JEC Surabaya,"Wonokromo, Kota Surabaya",,ophthalmologist,2025-06-15 09:10:26
"dr David Agung Hutabarat, SpM",Sp. Mata,RS Pertamina Balongan,"Indramayu, Kabupaten Indramayu",,ophthalmologist,2025-06-15 09:10:26
dr. Desi Mariska SP.M,Sp. Mata,RSIA Limijati,"Bandung Wetan, Kota Bandung",,ophthalmologist,2025-06-15 09:10:26
"dr. Devi Azri Wahyuni, Sp.M., MARS",Sp. Mata,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/659096_18-5-2021_14-14-9.png,ophthalmologist,2025-06-15 09:10:29
"dr. Dewi Rosalina, Sp.M",Sp. Mata,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/157860_13-12-2022_14-58-35.jpeg,ophthalmologist,2025-06-15 09:10:29
Dr. Dian Hadany Rahim Sp.M,Sp. Mata,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:29
Dian Paramitasari Sp. M,Sp. Mata,Ciputra Hospital Citra Raya Tangerang,"Panongan, Kabupaten Tangerang",,ophthalmologist,2025-06-15 09:10:29
"dr. Dian Paramitasari, Sp. M",Sp. Mata,Ciputra Hospital Citra Raya Tangerang,"Panongan, Kabupaten Tangerang",,ophthalmologist,2025-06-15 09:10:29
"dr. Diansyah Gustini Fitriani, Sp.M",Sp. Mata,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/342018_4-4-2022_13-56-18.jpeg,ophthalmologist,2025-06-15 09:10:29
"dr. Diansyah Gustini Fitriani, Sp.M",Sp. Mata,Optik Seis - Margo City Square,"Beji, Depok",,ophthalmologist,2025-06-15 09:10:29
"dr. Dini Hapsari, Sp.M",Sp. Mata,RS Harapan Bunda Jakarta,"Ciracas, Jakarta Timur",,ophthalmologist,2025-06-15 09:10:29
"dr. Dini Herdianti, Sp.M",Sp. Mata,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/632706_13-12-2022_17-10-36.png,ophthalmologist,2025-06-15 09:10:29
Dr. Andrew Lim Keat Eu,Sp. Mata,Island Hospital Penang,"Mampang Prapatan, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:29
"Dr. Cosmos Mangunsong, SpM",Sp. Mata,RS Mata JEC Menteng,"Menteng, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:32
Dr. Dr. Cosmos O. Mangunsong Sp M,Sp. Mata,RS Mata JEC Menteng,"Menteng, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:32
"Dr. Petty Purwanita, Sp.M (K)",Sp. Mata,RS Sriwijaya Palembang,"Ilir Timur I, Kota Palembang",,ophthalmologist,2025-06-15 09:10:32
"Dr. dr. Noor Syamsu, Sp.M(K) MARS",Sp. Mata,Klinik Mata Utama JEC Orbita Makassar,"Makassar, Kota Makassar",,ophthalmologist,2025-06-15 09:10:32
Dr.Raymond Tah Kheng Soon,Sp. Mata,Penang Adventist Hospital,"Mampang Prapatan, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:32
DR EDDYANTO SP. M,Sp. Mata,Klinik PHC Kebraon Surabaya,"Karangpilang, Kota Surabaya",,ophthalmologist,2025-06-15 09:10:32
dr Eko Parulian Sp. M,Sp. Mata,RS Permata Cibubur,"Jatisampurna, Bekasi",,ophthalmologist,2025-06-15 09:10:32
dr Eko Parulian Sp. M,Sp. Mata,RS Permata Cibubur,"Jatisampurna, Bekasi",,ophthalmologist,2025-06-15 09:10:32
"dr. Elisa Yopitasari, Sp.M",Sp. Mata,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/847080_7-7-2022_11-51-37.png,ophthalmologist,2025-06-15 09:10:32
"dr. Emilia Setyaadmadja, Sp. M",Sp. Mata,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/618843_18-4-2022_11-1-5.png,ophthalmologist,2025-06-15 09:10:32
"dr. Erna Niza, Sp.M",Sp. Mata,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/3014_18-5-2021_15-14-51.png,ophthalmologist,2025-06-15 09:10:37
"dr. Esti Wardhani, Sp. M","Sp. Mata, Lainnya",RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/453994_10-7-2024_15-42-36.png,ophthalmologist,2025-06-15 09:10:37
"dr. Etika Whidiastuti, Sp.M",Sp. Mata,Siloam Hospitals Sentosa Bekasi,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/67903_7-9-2022_16-25-3.jpeg,ophthalmologist,2025-06-15 09:10:37
dr. Etty Budiasni Sp.M,Sp. Mata,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:37
