name,speciality,hospital,city,img,slug,timestamp
"dr. Danny Gunawan, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/310410_14-12-2022_14-37-50.png,dermato-venereologist,2025-06-15 02:03:23
"dr. Dewi Kusumawati, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/807531_11-1-2023_15-21-0.png,dermato-venereologist,2025-06-15 02:03:23
"dr. Dewi Lastya Sari, Sp.DV., M.Med",Sp. Kulit & Kelamin,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",https://d1ojs48v3n42tp.cloudfront.net/personnels/668499_14-6-2022_17-24-27.jpeg,dermato-venereologist,2025-06-15 02:03:23
"dr. Dian Anggraeni, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/446619_15-6-2022_16-41-48.jpeg,dermato-venereologist,2025-06-15 02:03:23
"dr. Dian Puspitasari, Sp.DVE",Sp. Kulit & Kelamin,Klinik Utama Medika Antapani,"Kiaracondong, Kota Bandung",,dermato-venereologist,2025-06-15 02:03:26
"dr. Dian Puspitasari, Sp.KK",Sp. Kulit & Kelamin,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/350327_19-5-2021_14-21-34.jpeg,dermato-venereologist,2025-06-15 02:03:26
"dr. Dina Putri Chandra, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/743081_29-11-2022_16-22-33.jpeg,dermato-venereologist,2025-06-15 02:03:26
dr. Dina Udayani Swadeshi Sp.KK,Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:26
dr. Dino Udayani Swodesh Sp.KK,Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:26
"dr. Duma Mauliyasari, Sp.DV",Sp. Kulit & Kelamin,RS Mitra Keluarga Delta Mas,"Cikarang Pusat, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/216342_21-2-2023_18-55-55.jpeg,dermato-venereologist,2025-06-15 02:03:26
"dr. Edwin Tanihaha, Sp.KK, Dip. AAAM, MHKes, FKCCS",Sp. Kulit & Kelamin,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/544184_24-6-2022_17-54-24.jpeg,dermato-venereologist,2025-06-15 02:03:26
Dr. Eko Rini Puji Rahayu Sp. DVE,Sp. Kulit & Kelamin,RS Indriati Boyolali,"Mojosongo, Kabupaten Boyolali",,dermato-venereologist,2025-06-15 02:03:26
"dr. Elin Herlina, Sp.DV",Sp. Kulit & Kelamin,RS Mitra Keluarga Delta Mas,"Cikarang Pusat, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/260106_21-2-2023_18-56-55.jpeg,dermato-venereologist,2025-06-15 02:03:26
"dr. Emil Rafian Fadli, Sp.KK",Sp. Kulit & Kelamin,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/315290_14-12-2022_16-49-42.png,dermato-venereologist,2025-06-15 02:03:26
"dr. Epi Panjaitan, Sp.KK., MSc",Sp. Kulit & Kelamin,Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/760092_23-12-2022_17-51-5.jpeg,dermato-venereologist,2025-06-15 02:03:28
"dr. Erivia Debora Pangkahila, M.Biomed, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/417005_4-4-2022_13-58-26.jpeg,dermato-venereologist,2025-06-15 02:03:28
"dr. Ermon Naftali Limbara, Sp.KK., M.Biomed",Sp. Kulit & Kelamin,Siloam Hospitals Sentosa Bekasi,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/830679_7-9-2022_16-21-1.jpeg,dermato-venereologist,2025-06-15 02:03:28
"dr. Euis Mutmainnah, Sp.DV.,FINSDV",Sp. Kulit & Kelamin,RSIA Sammarie Basra,"Duren Sawit, Jakarta Timur",,dermato-venereologist,2025-06-15 02:03:28
dr. Euis Nana Resna Sp.KK.,Sp. Kulit & Kelamin,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/773517_8-7-2024_16-4-1.jpeg,dermato-venereologist,2025-06-15 02:03:28
"Evelyn Aryani Pranowo,",Sp. Kulit & Kelamin,RS Mitra Keluarga Pamulang,"Pamulang, Tangerang Selatan",,dermato-venereologist,2025-06-15 02:03:28
"dr. Evelyn Aryani, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/335178_11-4-2022_11-17-23.jpeg,dermato-venereologist,2025-06-15 02:03:28
"dr. Febrina Felicia Somba, Sp.KK., M.Kes",Sp. Kulit & Kelamin,Mayapada Hospital Tangerang,"Tangerang, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/151022_13-6-2022_14-11-48.jpeg,dermato-venereologist,2025-06-15 02:03:28
"dr. Ferra Olivia Mawu, Sp.KK., M.Med",Sp. Kulit & Kelamin,Siloam Hospitals Manado,"Wenang, Kota Manado",https://d1ojs48v3n42tp.cloudfront.net/personnels/187678_16-7-2020_12-7-20.png,dermato-venereologist,2025-06-15 02:03:28
dr. Fitra Hergayana Sp. KK,Sp. Kulit & Kelamin,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:28
dr. Fitra Hergyana Sp.KK,Sp. Kulit & Kelamin,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:31
dr. Fitra Hergyana Sp.KK,Sp. Kulit & Kelamin,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:31
"dr. Fitriana Yusiyanti Dewi, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/515911_14-12-2022_12-43-48.png,dermato-venereologist,2025-06-15 02:03:31
dr. Galih Manggala M. SpKK,Sp. Kulit & Kelamin,RS Permata Depok,"Sawangan, Depok",,dermato-venereologist,2025-06-15 02:03:31
"dr. Gayanti Germania, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Depok,"Pancoran Mas, Depok",https://d1ojs48v3n42tp.cloudfront.net/personnels/405432_11-4-2022_12-43-5.jpeg,dermato-venereologist,2025-06-15 02:03:31
"dr. Grace Waworuntu, M.Ked, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/709509_24-6-2022_18-1-19.jpeg,dermato-venereologist,2025-06-15 02:03:31
"dr. H. Bambang Rade Selyasyo, Sp.KK. FINSDV",Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:31
"dr. H. Bambang Ratio Satyarso, Sp.KK FINSDV",Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:31
dr. H. Bambang Ratio Setiyarso Sp.KK,Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:31
